,setup_ms,elapsed_ms,dbRead_ms
0,1268,2974,1692
1,981,2612,461
2,809,2381,1438
3,768,2667,542
4,746,2001,534
5,667,1780,616
6,1510,2150,729
7,811,1945,678
8,847,2012,636
9,766,2074,922
10,1148,2143,894
11,1470,1636,1336
12,676,1811,1114
13,773,1903,416
14,761,1689,1039
15,790,1542,682
16,681,1650,411
17,618,1706,806
18,922,1690,762
19,807,1842,851
20,770,1800,546
21,755,1804,425
22,696,1826,883
23,1610,1566,565
24,590,1659,541
25,1004,2460,767
26,810,1561,869
27,692,1606,819
28,1953,1720,871
29,1373,1689,430
30,689,2074,430
31,723,1672,533
32,653,1808,758
33,1485,2395,864
34,1486,2513,429
35,590,1745,561
36,615,1777,1114
37,1582,1817,669
38,1545,1636,748
39,1486,2599,1283
40,1167,1725,425
41,632,1812,791
42,1133,2615,544
43,593,1934,543
44,625,1647,691
45,674,1566,557
46,701,1613,457
47,682,1733,710
48,1416,2014,918
49,1661,1885,555
50,687,1712,516
51,700,1750,412
52,618,1544,2753
