,setup_ms,elapsed_ms,dbRead_ms
396,605,723,29
397,656,629,29
398,602,572,28
399,624,766,31
400,645,592,33
401,593,632,28
402,590,608,31
403,621,580,42
404,612,619,31
405,621,651,28
406,706,712,31
407,572,641,28
408,630,589,31
409,571,723,31
410,677,627,28
411,611,635,30
412,640,636,26
413,596,756,30
414,654,731,31
415,596,575,28
416,648,711,29
417,639,704,34
418,577,738,29
419,676,642,28
420,605,690,31
421,671,610,29
422,587,692,28
423,632,700,31
424,658,702,31
425,696,667,50
426,740,732,50
427,579,698,26
428,670,764,26
429,745,568,28
430,695,658,29
431,641,580,36
432,788,703,29
433,585,671,28
434,651,624,34
435,628,646,25
436,585,710,28
437,637,706,27
438,654,619,26
439,691,575,53
440,711,625,27
441,580,603,31
442,690,612,31
443,662,617,28
444,649,689,31
445,592,595,28
446,658,726,29
447,572,626,35
448,838,622,29
449,608,695,31
450,657,643,27
451,562,761,34
452,601,570,89
453,713,679,32
454,654,710,27
455,590,649,48
456,740,715,31
457,558,697,28
458,614,730,30
459,678,679,27
460,589,691,37
461,808,674,27
462,616,588,31
463,671,649,32
464,662,602,32
465,573,705,26
466,651,701,32
467,612,706,29
468,705,911,31
469,666,697,31
470,561,556,27
471,611,638,30
472,683,651,31
473,734,780,27
474,653,649,32
475,649,627,32
476,759,656,32
477,625,742,27
478,688,603,37
479,763,689,28
480,671,606,34
481,610,703,27
482,657,611,28
483,636,698,32
484,634,576,28
485,571,701,31
486,666,571,32
487,605,637,27
488,642,653,28
489,647,611,34
490,628,735,33
491,666,596,30
492,617,660,31
493,626,674,32
494,666,658,32
495,614,596,29
496,631,576,30
497,661,746,27
498,629,597,31
499,645,556,32
500,682,698,27
501,676,701,27
502,610,639,32
503,610,627,29
504,588,715,48
505,769,576,27
506,694,756,27
507,643,703,27
508,573,595,31
509,607,625,46
510,2127,1476,91
