,setup_ms,elapsed_ms,dbRead_ms
0,1911,510,6
1,1384,466,4
2,1593,477,4
3,931,319,5
4,841,290,6
5,832,297,3
6,920,299,7
7,884,326,4
8,934,351,4
9,889,286,5
10,905,343,6
11,825,334,5
12,826,314,6
13,844,310,5
14,820,300,4
15,805,305,5
16,825,311,5
17,870,334,6
18,877,274,4
19,787,324,5
20,839,328,4
21,846,296,7
22,791,293,5
23,819,357,3
24,755,255,4
25,732,271,4
26,736,297,4
27,713,321,5
28,737,293,4
29,705,269,3
30,710,303,4
31,746,275,5
32,724,288,10
33,732,333,4
34,776,305,5
35,696,287,3
36,741,289,8
37,719,309,4
38,721,275,4
39,680,304,5
40,707,296,4
41,742,288,3
42,695,349,5
43,771,307,4
44,712,300,3
45,765,292,5
46,742,271,5
47,805,279,5
48,723,307,4
49,716,313,3
50,711,268,4
51,774,319,5
52,729,304,3
53,707,291,5
54,718,296,3
55,684,305,4
56,725,273,3
57,701,317,4
58,752,306,4
59,878,338,4
60,793,320,5
61,733,297,5
62,757,284,4
63,738,346,3
64,738,275,33
65,699,255,4
66,711,313,5
67,736,295,7
68,726,287,4
69,711,308,5
70,720,310,5
71,718,300,4
72,701,247,4
73,692,293,4
74,709,290,4
75,733,280,5
76,744,298,3
77,795,309,4
78,698,276,3
79,726,268,4
80,714,241,4
81,655,283,5
82,661,266,4
83,640,263,3
84,607,225,5
85,938,424,5
86,1195,356,6
87,789,303,5
88,735,338,4
89,835,352,3
90,726,315,4
91,713,321,7
92,751,291,4
93,717,322,4
94,890,312,4
95,717,293,6
96,727,283,4
97,760,328,6
98,757,278,9
99,757,312,3
100,759,311,4
101,758,334,4
102,790,277,4
103,745,298,5
104,760,301,6
105,771,310,4
106,719,295,4
107,728,325,6
108,777,295,3
109,736,290,5
110,708,277,5
111,747,294,4
112,755,312,4
113,869,281,5
114,829,296,4
115,745,254,5
116,721,313,3
117,772,318,5
118,727,310,4
119,737,303,3
120,728,335,5
121,769,297,3
122,721,327,4
123,755,258,4
124,853,293,4
125,716,297,5
126,724,248,6
127,912,368,4
128,747,258,5
129,720,302,5
130,770,332,5
131,728,291,4
132,765,248,5
133,740,282,3
134,723,277,6
135,718,245,3
136,690,281,4
137,733,280,4
138,783,318,6
139,707,371,4
140,764,297,3
141,732,280,5
142,773,324,4
143,729,281,5
144,718,299,4
145,723,307,6
146,710,328,4
147,744,314,8
148,745,312,5
149,801,348,4
150,720,295,5
151,749,279,6
152,713,277,9
153,794,319,7
154,711,323,3
155,763,300,6
156,724,313,5
157,730,328,3
158,754,284,4
159,854,277,4
160,731,299,4
161,741,322,4
162,788,318,5
163,755,317,4
164,751,324,8
165,757,302,4
166,719,292,4
167,853,272,4
168,719,293,5
169,754,294,5
170,697,290,4
171,711,335,5
172,725,303,3
173,855,339,8
174,792,296,4
175,717,266,4
176,701,309,7
177,708,313,5
178,753,282,3
179,765,304,6
180,749,316,4
181,696,312,4
182,753,260,4
183,767,268,4
184,779,340,3
185,736,252,4
186,707,320,4
187,709,284,4
188,741,276,6
189,797,281,5
190,732,290,5
191,728,309,3
192,770,308,5
193,757,279,4
194,756,321,5
195,725,327,4
196,746,309,5
197,748,300,4
198,707,299,4
199,749,284,4
200,795,326,10
201,742,314,4
202,716,314,5
203,738,306,7
204,729,337,5
205,789,389,4
206,736,312,3
207,921,291,4
208,717,297,5
209,762,302,4
210,751,308,4
211,763,292,4
212,757,309,4
213,822,303,6
214,709,278,6
215,781,295,5
216,719,316,4
217,794,329,5
218,748,303,4
219,829,284,5
220,745,296,4
221,758,364,4
222,711,294,4
223,809,340,5
224,795,332,3
225,775,327,4
226,917,306,4
227,748,289,4
228,758,307,4
229,706,293,5
230,751,294,5
231,719,304,4
232,812,310,4
233,709,319,3
234,741,326,4
235,743,294,4
236,753,282,6
237,744,287,6
238,766,316,3
239,736,261,4
240,757,307,5
241,751,307,4
242,731,298,5
243,746,306,4
244,931,297,4
245,713,295,4
246,738,290,5
247,743,315,3
248,746,300,4
249,704,285,5
250,892,300,3
251,746,312,3
252,757,337,4
253,902,301,4
254,706,278,3
255,705,276,4
256,742,302,4
257,726,299,4
258,745,325,4
259,907,316,5
260,762,315,4
261,801,279,4
262,724,334,5
263,739,287,3
264,730,360,4
265,712,288,4
266,753,277,4
267,742,322,6
268,745,302,6
269,777,310,14
270,719,320,4
271,735,261,4
272,748,326,4
273,883,280,4
274,751,281,5
275,727,285,4
276,757,334,4
277,706,313,3
278,737,315,6
279,746,302,5
280,773,319,4
281,713,288,6
282,742,282,4
283,769,308,5
284,781,283,6
285,888,294,6
286,754,294,5
287,699,299,3
288,714,296,3
289,711,301,5
290,836,326,4
291,780,345,4
292,745,284,4
293,770,332,4
294,718,273,7
295,709,293,4
296,750,300,3
297,750,284,5
298,747,292,8
299,694,272,5
300,797,329,3
301,723,275,5
302,753,354,4
303,763,274,13
304,759,322,5
305,789,338,4
306,759,319,4
307,809,312,4
308,714,302,4
309,739,338,4
310,707,322,7
311,742,304,4
312,679,270,4
313,679,269,5
314,650,256,5
315,641,246,3
316,633,266,5
317,607,229,13
318,1422,491,7
319,969,330,4
320,838,362,4
321,752,313,4
322,915,296,3
323,785,313,4
324,764,307,4
325,754,252,4
326,954,283,4
327,754,277,5
328,762,286,5
329,745,309,4
330,745,310,4
331,778,296,12
332,746,290,6
333,697,315,3
334,794,321,4
335,745,291,4
336,772,304,4
337,745,310,6
338,765,303,4
339,746,309,3
340,738,333,5
341,815,265,5
342,758,297,4
343,858,300,5
344,769,297,8
345,710,297,10
346,736,260,3
347,758,296,4
348,738,332,7
349,745,282,4
350,792,306,4
351,845,319,6
352,750,286,4
353,753,290,7
354,747,326,6
355,718,284,4
356,738,316,5
357,753,252,4
358,758,309,4
359,759,298,6
360,710,293,12
361,756,298,4
362,725,287,4
363,728,258,4
364,737,275,5
365,755,272,5
366,825,318,4
367,781,320,4
368,777,291,4
369,869,313,5
370,732,271,4
371,721,294,4
372,827,290,4
373,752,277,3
374,726,251,5
375,774,320,3
376,742,304,5
377,711,299,4
378,809,358,9
379,753,312,12
380,744,303,4
381,723,286,4
382,828,328,5
383,722,283,5
384,753,281,4
385,764,297,5
386,817,322,4
387,902,320,3
388,784,374,3
389,709,256,3
390,749,289,4
391,701,314,5
392,723,315,4
393,743,332,4
394,743,290,4
395,703,303,5
396,729,302,6
397,800,288,4
398,819,284,4
399,723,330,5
400,753,285,4
401,701,322,4
402,880,327,20
403,742,317,5
404,773,294,4
405,763,274,5
406,744,293,7
407,717,316,11
408,724,290,5
409,687,312,6
410,739,293,3
411,855,297,4
412,786,291,4
413,715,330,4
414,773,329,4
415,749,281,4
416,719,373,4
417,757,323,4
418,871,291,3
419,738,275,4
420,754,314,4
421,755,292,4
422,796,318,3
423,747,273,4
424,720,295,4
425,770,274,4
426,734,288,4
427,720,330,5
428,737,285,3
429,738,281,7
430,734,299,4
431,745,297,3
432,706,314,5
433,734,305,5
434,748,316,4
435,740,332,7
436,758,337,4
437,762,269,4
438,802,290,4
439,765,257,4
440,732,290,4
441,754,304,9
442,803,334,4
443,753,338,4
444,759,295,4
445,796,339,4
446,835,303,4
447,819,312,4
448,754,314,4
449,762,332,4
450,732,285,5
451,825,306,4
452,776,294,4
453,736,299,4
454,749,302,5
455,761,285,4
456,709,289,3
457,803,330,4
458,854,299,5
459,739,250,4
460,759,268,3
461,720,301,4
462,833,326,4
463,791,315,7
464,747,299,7
465,734,283,4
466,711,325,4
467,725,327,5
468,749,291,3
469,756,285,3
470,793,302,3
471,735,319,5
472,763,296,4
473,817,327,4
474,695,321,5
475,813,286,4
476,797,286,6
477,732,298,4
478,734,368,3
479,768,307,4
480,821,326,6
481,736,278,5
482,772,325,10
483,757,302,5
484,746,266,3
485,766,319,6
486,767,322,4
487,750,357,4
488,739,303,4
489,774,323,4
490,742,296,5
491,754,307,5
492,769,312,4
493,781,284,4
494,735,337,5
495,767,320,5
496,758,300,4
497,748,303,4
498,727,304,5
499,733,326,4
500,773,315,4
501,758,329,4
502,764,307,3
503,738,306,4
504,733,292,4
505,907,306,6
506,769,302,4
507,783,271,5
508,873,312,5
509,706,311,4
510,770,318,4
511,734,309,4
512,747,308,4
513,769,292,4
514,752,288,4
515,825,318,4
516,737,319,4
517,856,291,7
518,784,333,4
519,710,239,4
520,800,314,4
521,909,339,3
522,762,301,4
523,720,329,6
524,777,307,8
525,709,309,3
526,813,335,4
527,719,311,3
528,717,292,4
529,762,290,20
530,762,375,4
531,718,326,4
532,720,320,4
533,763,294,5
534,738,290,3
535,755,307,6
536,745,310,6
537,735,319,4
538,807,271,3
539,756,301,3
540,936,316,3
541,768,303,4
542,712,336,4
543,738,297,4
544,746,260,4
545,783,353,4
546,716,298,4
547,766,336,8
