,setup_ms,elapsed_ms,dbRead_ms
341,656,397,16
342,628,452,18
343,656,467,15
344,635,456,18
345,660,460,15
346,629,394,15
347,600,452,16
348,575,448,16
349,566,481,14
350,642,443,18
351,664,454,14
352,651,459,14
353,660,366,16
354,611,456,22
355,617,498,19
356,534,480,16
357,611,429,15
358,591,443,16
359,567,445,14
360,622,465,14
361,646,379,15
362,566,473,15
363,606,382,19
364,671,443,15
365,608,456,13
366,576,463,14
367,644,382,15
368,625,474,15
369,577,459,18
370,690,384,12
371,956,441,15
372,588,439,14
373,613,452,18
374,636,408,13
375,598,464,13
376,583,455,14
377,616,387,16
378,679,394,17
379,656,426,16
380,624,437,21
381,620,455,19
382,620,475,15
383,623,460,15
384,594,483,16
385,933,471,16
386,644,393,15
387,640,503,13
388,676,397,17
389,576,465,17
390,571,394,16
391,609,425,18
392,630,474,14
393,679,441,15
394,603,478,16
395,634,508,14
396,618,510,13
397,630,456,13
398,568,489,14
399,643,474,13
400,630,481,14
401,600,448,15
402,604,427,17
403,668,398,14
404,626,398,14
405,616,444,15
406,682,415,14
407,532,466,14
408,664,446,16
409,676,409,15
410,661,469,16
411,603,463,14
412,603,472,13
413,615,402,16
414,583,466,15
415,981,445,14
416,652,467,15
417,617,467,14
418,596,468,17
419,574,385,15
420,630,443,15
421,649,381,21
422,640,520,16
423,597,456,17
424,660,403,14
425,667,448,16
426,610,469,14
427,529,471,15
428,540,497,12
429,519,462,15
430,675,458,14
431,599,476,14
432,591,475,16
433,668,442,15
434,637,464,16
435,613,416,15
436,633,473,14
437,647,424,25
438,613,429,16
439,664,437,21
440,648,382,15
441,594,404,15
442,623,409,16
443,640,461,14
444,676,393,14
445,584,452,15
446,635,453,15
447,669,527,14
448,624,452,19
449,608,447,14
450,665,462,14
451,687,479,14
452,610,398,16
453,577,412,16
454,643,455,15
455,660,453,16
456,598,446,15
457,603,435,15
458,629,441,21
459,642,436,14
460,673,393,14
461,580,388,18
462,624,459,15
463,626,479,15
464,664,405,14
465,602,453,16
466,593,442,18
467,665,500,15
468,647,382,13
469,620,400,23
470,584,493,15
471,629,495,13
472,619,424,14
473,603,435,22
474,558,510,16
475,642,452,15
476,610,464,14
477,597,445,15
478,619,457,13
479,649,459,13
480,590,398,16
481,623,438,15
482,630,437,15
483,652,465,15
484,722,507,16
485,635,467,14
486,689,402,15
487,656,885,13
488,1516,795,0
