,setup_ms,elapsed_ms,dbRead_ms
0,720,1811,23
1,1089,634,29
2,707,929,15
3,724,501,14
4,646,494,16
5,663,775,14
6,636,570,15
7,938,559,18
8,748,553,15
9,608,484,14
10,594,505,14
11,553,530,16
12,524,425,14
13,521,488,14
14,537,460,14
15,568,473,14
16,528,476,13
17,537,484,15
18,530,479,15
19,519,467,13
20,524,473,14
21,548,482,14
22,517,455,13
23,536,426,14
24,527,474,15
25,542,447,14
26,526,466,13
27,544,436,14
28,536,381,14
29,528,459,14
30,526,444,14
31,510,417,14
32,521,469,16
33,524,408,16
34,530,442,14
35,540,507,14
36,533,472,14
37,544,441,14
38,538,459,14
39,531,441,14
40,550,488,14
41,539,436,14
42,547,405,14
43,517,465,13
44,540,479,13
45,520,391,15
46,549,476,14
47,524,468,15
48,534,380,15
49,528,451,14
50,529,393,15
51,538,449,15
52,565,412,15
53,525,425,14
54,550,450,14
55,545,402,15
56,561,469,13
57,528,493,14
58,524,446,14
59,510,414,15
60,529,465,44
61,542,482,14
62,525,439,14
63,542,486,14
64,545,416,15
65,543,469,14
66,514,428,14
67,535,471,14
68,538,523,14
69,553,470,14
70,559,452,14
71,526,411,14
72,548,433,14
73,518,441,14
74,548,476,14
75,545,507,14
76,530,463,14
77,525,455,14
78,555,523,14
79,532,477,15
80,540,460,16
81,536,393,14
82,523,466,14
83,521,444,14
84,527,482,14
85,522,457,13
86,535,385,13
87,531,432,13
88,541,483,15
89,529,451,14
90,521,464,14
91,519,415,13
92,518,412,15
93,533,466,14
94,538,465,13
95,527,469,13
96,526,442,14
97,546,463,13
98,529,443,14
99,527,378,14
100,551,449,14
101,525,455,14
102,523,409,15
103,528,482,14
104,573,442,14
105,518,464,14
106,522,451,13
107,522,465,15
108,593,439,14
109,545,377,14
110,526,481,14
111,572,454,14
112,519,447,14
113,528,455,14
114,527,470,14
115,535,434,14
116,533,425,13
117,531,472,13
118,527,420,13
119,526,447,14
120,541,409,19
121,566,387,14
122,523,462,14
123,517,428,13
124,533,434,14
125,597,396,14
126,526,441,14
127,513,467,16
128,529,447,14
129,567,480,14
130,535,434,14
131,531,466,13
132,516,429,14
133,529,482,14
134,556,407,14
135,520,416,15
136,541,387,14
137,543,462,14
138,530,426,14
139,529,391,14
140,527,438,13
141,598,489,14
142,549,465,14
143,535,449,14
144,531,450,14
145,528,428,14
146,532,402,15
147,566,584,15
148,608,576,15
149,630,508,13
150,562,556,14
151,1040,545,22
152,686,501,14
153,689,573,13
154,683,523,16
155,640,649,13
156,732,487,13
157,541,475,22
158,533,509,16
159,864,565,13
160,716,600,31
161,757,537,16
162,793,819,25
163,815,588,22
164,785,567,23
165,746,510,18
166,796,542,23
167,727,510,20
168,704,595,21
169,688,527,32
170,779,544,21
171,760,492,16
172,715,628,19
173,755,570,24
174,765,571,21
175,937,522,19
176,783,540,22
177,788,511,27
178,1015,1059,66
179,764,484,25
180,782,491,14
181,589,483,21
182,616,847,18
183,650,471,16
184,633,378,15
185,661,428,18
186,655,483,15
187,626,382,14
188,594,439,15
189,732,461,13
190,617,461,14
191,582,470,15
192,563,423,18
193,623,409,14
194,593,397,19
195,574,468,13
196,600,469,13
197,627,477,13
198,599,382,16
199,619,453,14
200,633,445,14
201,611,442,14
202,597,390,15
203,886,435,15
204,578,460,16
205,588,383,16
206,644,394,15
207,609,444,22
208,736,386,15
209,576,372,13
210,655,459,15
211,616,416,14
212,572,458,17
213,650,480,13
214,635,440,15
215,593,393,15
216,652,383,26
217,760,468,14
218,584,415,15
219,601,483,15
220,662,398,17
221,617,413,14
222,596,387,14
223,569,404,16
224,650,464,14
225,617,404,14
226,579,461,14
227,635,470,15
228,633,388,15
229,608,457,13
230,582,461,16
231,730,480,15
232,663,507,14
233,598,398,18
234,626,466,15
235,649,474,15
236,595,470,16
237,616,473,15
238,576,459,18
239,557,398,14
240,654,449,15
241,577,489,14
242,615,454,15
243,623,440,14
244,593,429,15
245,631,433,17
246,649,478,13
247,619,463,14
248,582,489,14
249,664,476,16
250,618,466,15
251,608,407,15
252,617,403,18
253,614,453,15
254,581,403,23
255,657,407,14
256,632,453,15
257,604,485,14
258,622,469,14
259,670,393,14
260,610,451,15
261,580,442,14
262,640,461,13
263,625,406,14
264,575,427,15
265,646,404,13
266,615,509,15
267,584,451,14
268,960,485,13
269,655,406,14
270,629,395,15
271,600,385,15
272,613,456,14
273,614,475,14
274,618,381,15
275,599,450,14
276,641,444,15
277,587,480,15
278,578,445,15
279,631,402,15
280,620,383,14
281,593,444,17
282,624,495,13
283,636,377,17
284,604,457,15
285,638,450,15
286,634,449,15
287,583,452,14
288,644,458,14
289,629,419,19
290,894,469,16
291,634,448,13
292,632,470,15
293,567,466,13
294,508,488,14
295,695,405,15
296,602,413,16
297,602,481,20
298,636,507,20
299,797,391,15
300,640,452,14
301,644,478,15
302,657,479,14
303,684,395,17
304,639,389,13
305,653,463,14
306,620,458,17
307,608,413,15
308,598,468,16
309,588,456,17
310,611,453,16
311,594,452,19
312,657,383,18
313,646,426,16
314,629,409,16
315,639,485,13
316,649,420,14
317,645,408,15
318,620,404,15
319,578,465,15
320,778,385,16
321,576,445,15
322,567,456,17
323,601,444,14
324,658,437,16
325,638,444,15
326,669,461,16
327,644,389,16
328,651,465,16
329,665,470,19
330,654,489,13
331,651,444,14
332,617,474,14
333,592,413,14
334,604,451,19
335,618,379,18
336,587,394,16
337,583,574,14
338,621,454,16
339,645,385,16
340,675,455,16
