,setup_ms,elapsed_ms,dbRead_ms
0,636,1127,88
1,673,1050,64
2,613,1129,63
3,639,1186,65
4,658,1093,60
5,657,1343,115
6,1026,1175,66
7,675,1353,103
8,1913,1215,93
9,907,1537,62
10,629,1267,69
11,647,1229,372
12,1055,1132,68
13,684,1095,62
14,714,2210,74
15,756,1608,62
16,688,1271,61
17,621,1165,235
18,1113,2610,74
19,760,1386,118
20,745,1529,136
21,640,1343,88
22,694,989,61
23,598,1139,67
24,1187,1337,62
25,614,1176,57
26,653,1302,57
27,614,1285,63
28,616,1179,234
29,1169,1322,90
30,1056,1255,57
31,643,1179,137
32,751,1158,84
33,625,1556,59
34,792,1104,61
