,setup_ms,elapsed_ms,dbRead_ms
0,622,49,0
1,641,51,0
2,613,44,0
3,636,48,0
4,601,47,0
5,617,49,0
6,658,43,0
7,629,49,1
8,610,47,0
9,609,49,0
10,792,47,0
11,627,46,0
12,655,50,0
13,653,47,0
14,639,48,0
15,627,46,0
16,583,44,1
17,1133,47,0
18,902,44,1
19,754,75,1
20,1009,72,1
21,675,46,0
22,693,56,0
23,663,48,0
24,643,50,1
25,631,53,1
26,636,50,0
27,667,51,0
28,621,46,1
29,620,47,1
30,612,45,1
31,636,47,1
32,625,56,1
33,659,51,0
34,611,53,0
35,729,53,1
36,626,47,0
37,615,47,0
38,637,46,0
39,622,55,0
40,631,50,1
41,638,56,0
42,623,58,0
43,630,53,1
44,634,48,0
45,611,46,0
46,623,51,0
47,638,53,0
48,833,50,0
49,604,45,0
50,601,44,0
51,599,50,0
52,597,46,0
53,601,44,1
54,801,185,1
55,755,56,1
56,814,49,1
57,746,45,1
58,647,49,1
59,673,44,1
60,638,49,1
61,600,49,0
62,623,45,0
63,674,53,0
64,630,48,1
65,642,66,0
66,664,53,0
67,606,45,0
68,637,49,0
69,676,48,0
70,639,50,0
71,623,49,0
72,632,48,1
73,601,46,0
74,636,43,0
75,610,49,1
76,638,47,1
77,601,48,0
78,618,59,1
79,613,49,1
80,718,55,1
81,590,47,1
82,608,53,1
83,622,51,0
84,634,48,0
85,632,47,0
86,644,46,0
87,670,52,1
88,637,51,0
89,604,51,0
90,642,48,0
91,615,50,0
92,602,45,1
93,611,48,0
94,610,46,0
95,613,48,1
96,635,55,0
97,651,50,1
98,597,52,0
99,618,49,1
100,621,57,0
101,1138,60,1
102,658,50,1
103,706,53,0
104,648,45,1
105,657,46,1
106,636,48,0
107,636,50,0
108,579,50,0
109,691,52,1
110,616,49,0
111,609,48,1
112,682,47,0
113,598,49,1
114,695,51,0
115,625,57,1
116,654,61,0
117,597,49,0
118,681,44,0
119,605,47,0
120,618,56,1
121,594,46,1
122,720,50,1
123,632,51,0
124,601,44,0
125,655,54,0
126,669,45,0
127,657,49,0
128,637,43,0
129,680,52,0
130,629,44,0
131,613,50,0
132,618,50,0
133,659,57,1
134,622,49,1
135,613,45,1
136,597,49,0
137,608,56,1
138,618,48,0
139,599,54,0
140,620,47,1
141,623,53,0
142,614,49,1
143,604,48,0
144,685,47,0
145,605,46,0
146,606,51,0
147,652,44,0
148,671,47,0
149,593,46,0
150,632,48,0
151,618,43,0
152,653,52,0
153,629,46,0
154,613,59,0
155,623,50,1
156,643,49,0
157,631,48,1
158,654,49,0
159,625,50,1
160,626,49,0
161,639,46,0
162,605,47,0
163,603,47,0
164,663,46,0
165,616,53,1
166,611,45,0
167,626,48,1
168,671,47,0
169,610,47,0
170,612,50,0
171,602,50,0
172,626,55,1
173,619,46,0
174,606,47,0
175,635,47,0
176,623,51,0
177,620,52,0
178,593,45,0
179,607,50,0
180,625,51,0
181,616,47,1
182,615,45,1
183,597,44,0
184,615,48,0
185,624,54,1
186,632,47,1
187,638,47,0
188,603,52,0
189,613,47,1
190,635,50,1
191,598,50,0
192,643,48,0
193,609,53,0
194,656,47,0
195,655,48,0
196,638,49,1
197,627,49,1
198,624,48,0
199,600,43,1
200,634,46,1
201,618,50,0
202,594,54,0
203,634,50,1
204,642,47,0
205,661,49,0
206,597,50,0
207,611,49,0
208,599,53,0
209,678,42,0
