,setup_ms,elapsed_ms,dbRead_ms
0,846,1372,20
1,1116,598,8
2,1489,848,11
3,1407,512,8
4,797,432,8
5,766,415,8
6,861,421,7
7,789,520,17
8,795,411,8
9,772,434,8
10,747,456,8
11,771,399,8
12,708,393,9
13,877,415,8
14,760,426,8
15,761,449,8
16,763,424,8
17,763,407,8
18,792,421,7
19,718,397,9
20,787,419,8
21,757,461,8
22,753,421,10
23,815,434,9
24,732,409,8
25,765,432,7
26,767,345,13
27,859,431,7
28,752,379,12
29,760,407,8
30,763,379,9
31,732,405,8
32,765,461,8
33,855,434,8
34,743,469,9
35,779,437,8
36,738,446,7
37,748,476,8
38,764,420,7
39,767,435,7
40,731,427,9
41,738,390,8
42,738,424,9
43,787,413,9
44,733,416,8
45,806,396,8
46,771,396,9
47,799,417,8
48,805,404,8
49,773,464,8
50,776,441,8
51,787,455,8
52,776,424,30
53,800,431,7
54,777,476,8
55,745,460,8
56,799,446,8
57,783,412,12
58,754,448,7
59,786,371,8
60,758,421,9
61,786,408,7
62,738,390,7
63,726,408,9
64,731,398,8
65,724,393,8
66,1106,409,8
67,794,413,9
68,841,398,8
69,663,358,8
70,643,317,8
71,660,374,7
72,652,338,7
73,587,369,8
74,957,893,8
75,987,413,11
76,627,431,7
77,659,355,8
78,781,398,7
79,632,342,8
80,644,357,25
81,616,307,7
82,625,331,9
83,1107,457,8
84,652,372,8
85,653,350,8
86,640,347,7
87,636,375,7
88,932,466,8
89,675,393,8
90,727,376,9
91,734,346,11
92,824,414,12
93,1192,369,11
94,728,380,7
95,639,392,8
96,630,353,10
97,1055,655,8
98,630,348,8
99,658,364,8
100,654,361,7
101,627,339,7
102,632,407,7
103,636,337,7
104,642,341,7
105,1000,379,8
106,634,395,8
107,620,355,7
108,666,372,7
109,628,356,8
110,903,330,7
111,657,367,7
112,659,333,7
113,692,345,7
114,634,335,9
115,637,310,7
116,665,359,8
117,646,387,8
118,626,366,12
119,623,400,7
120,655,357,8
121,659,405,7
122,683,353,8
123,655,373,8
124,621,364,9
125,648,344,7
126,629,422,7
127,687,372,8
128,643,363,7
129,688,354,9
130,736,372,8
131,631,382,8
132,640,358,9
133,957,315,8
134,624,377,8
135,649,347,9
136,693,390,7
137,670,362,8
138,638,377,28
139,642,302,8
140,616,375,8
141,645,340,8
142,664,348,8
143,618,364,7
144,709,358,7
145,633,370,7
146,636,365,7
147,621,349,7
148,638,349,8
149,625,368,7
150,663,372,10
151,671,356,8
152,639,375,7
153,648,378,7
154,662,336,8
155,628,372,7
156,640,375,8
157,665,359,8
158,660,338,11
159,628,334,8
160,626,359,7
161,639,323,8
162,630,327,12
163,714,356,8
164,670,338,8
165,610,373,8
166,649,381,7
167,632,331,7
168,634,358,8
169,674,394,8
170,958,360,8
171,648,340,8
172,648,352,7
173,621,365,7
174,643,352,8
175,616,347,7
176,644,384,8
177,629,391,8
178,607,335,13
179,649,339,8
180,613,325,8
181,639,381,7
182,652,319,8
183,693,327,8
184,618,344,8
185,622,351,8
186,627,333,8
187,672,351,8
188,903,337,8
189,681,379,7
190,667,363,10
191,641,354,7
192,681,352,7
193,596,331,8
194,610,336,8
195,591,352,7
196,913,331,7
197,604,346,7
198,674,363,7
199,626,364,8
200,624,355,6
201,631,308,7
202,930,374,7
203,647,356,8
204,642,327,8
205,630,365,7
206,622,356,8
207,644,338,7
208,629,382,8
209,608,378,7
210,638,335,8
211,612,379,8
212,638,360,7
213,631,328,7
214,937,326,7
215,620,322,7
216,598,371,8
217,959,518,8
218,620,324,7
219,624,346,8
220,610,387,8
221,608,357,8
222,683,325,8
223,620,372,8
224,652,450,8
225,986,517,8
226,613,359,7
227,632,341,8
228,632,328,8
229,618,397,7
230,621,327,8
231,615,314,8
232,629,317,11
233,694,339,10
234,638,309,8
235,594,359,8
236,635,346,8
237,646,338,7
238,628,348,8
239,642,333,8
240,619,364,8
241,636,342,8
242,726,356,8
243,638,342,8
244,672,336,8
245,627,348,10
246,648,381,8
247,647,370,9
248,657,360,8
249,627,351,8
250,652,320,8
251,615,356,8
252,633,356,7
253,633,357,7
254,672,336,11
255,735,365,7
256,666,361,7
257,637,365,8
258,639,370,8
259,630,325,9
260,689,376,7
261,648,388,7
262,619,369,7
263,625,373,9
264,854,340,7
265,635,345,7
266,633,374,8
267,597,343,8
268,643,362,8
269,596,408,7
270,656,345,8
271,633,301,13
272,685,355,12
273,744,359,9
274,639,398,7
275,629,404,0
