,setup_ms,elapsed_ms,dbRead_ms
0,880,239,1
1,862,191,1
2,753,185,1
3,783,151,2
4,788,202,1
5,756,148,1
6,780,176,1
7,745,196,3
8,716,174,1
9,752,174,1
10,794,198,1
11,730,182,1
12,916,155,1
13,724,160,1
14,816,165,1
15,798,186,1
16,843,260,1
17,791,167,2
18,1535,301,1
19,900,185,2
20,816,186,1
21,802,172,1
22,4028,207,1
23,2303,239,2
24,1048,213,1
25,734,158,1
26,803,163,1
27,768,180,1
28,814,195,1
29,845,175,1
30,815,176,1
31,800,177,1
32,809,167,1
33,736,176,2
34,910,192,2
35,867,184,1
36,793,286,2
37,789,162,1
38,777,178,2
39,782,165,1
40,803,158,1
41,817,218,2
42,723,190,1
43,785,179,1
44,887,186,1
45,713,197,2
46,1698,530,3
47,1353,282,2
48,737,156,1
49,962,161,1
50,1141,198,1
51,804,183,1
52,640,166,2
53,732,191,1
54,868,162,2
55,696,155,1
56,830,175,2
57,903,163,1
58,727,205,2
59,660,135,1
60,636,163,1
61,911,173,2
62,1180,361,1
63,681,159,2
64,667,147,1
65,661,157,2
66,626,155,2
67,613,138,1
68,621,143,2
69,626,149,1
70,638,147,1
71,637,135,2
72,664,151,1
73,601,150,2
