,setup_ms,elapsed_ms,dbRead_ms
0,695,2564,1754
1,1068,2861,1416
2,593,2719,1247
3,599,2323,1265
4,598,2594,1236
5,589,2467,1273
6,578,2331,1291
7,589,2493,1445
8,722,2886,1349
9,694,2379,1373
10,669,2503,1341
11,647,4498,1476
12,863,2945,1373
13,793,2455,1400
14,716,2685,1416
15,687,2783,1517
16,699,2660,1374
17,669,2299,1414
18,674,2631,1358
19,761,2650,1657
20,768,2588,1346
21,768,2869,1427
22,711,2492,1355
23,818,2784,1407
24,727,2648,1463
25,578,2659,1440
26,582,2614,1406
27,684,2236,1345
28,738,3098,1411
29,654,3055,1415
30,693,2649,1447
31,627,2462,1292
32,615,2656,1365
33,785,2577,1402
34,739,2740,1343
35,691,2288,1382
36,742,2395,1297
37,583,2507,1565
38,609,2536,1426
39,672,2704,1326
40,679,2362,1429
41,659,2669,1306
42,721,2463,1355
43,679,2205,1260
44,605,2627,1392
45,569,2521,1513
46,631,2741,1297
47,579,2620,1288
48,588,2286,1253
49,728,2560,1290
50,602,2161,1257
51,589,2314,1304
52,694,2737,1280
53,585,2355,1187
54,495,2004,1259
55,501,2208,1216
56,503,2190,1274
57,499,2255,1218
58,523,2250,1204
59,494,2049,1117
60,566,2200,1251
61,503,2074,1216
62,513,2405,1173
63,540,1971,1223
64,496,2011,1221
65,487,2060,1234
66,501,2188,1195
67,509,2364,1193
68,509,2192,1214
69,511,2330,1211
70,570,2152,1184
71,585,2178,1198
72,497,2262,1304
73,586,2297,1177
74,491,1944,1256
75,509,2051,1237
76,515,1943,1184
77,566,2236,1211
78,493,2245,1228
79,491,2084,1241
80,492,2121,1237
81,505,2165,1115
82,567,2433,1213
83,570,2284,1241
84,496,2389,1222
85,500,2112,1204
86,493,2061,1217
87,501,2099,1232
88,496,2096,1203
89,491,1949,1096
90,491,2288,1199
91,513,2127,1273
92,521,2445,1285
93,598,2627,1179
94,515,2429,1248
95,492,1951,1218
96,489,2430,1130
97,569,2148,1180
98,502,2334,1225
99,501,2186,1291
100,571,2179,1316
101,575,2243,1630
102,588,2344,1280
103,510,2201,1236
104,508,2126,1271
105,500,2323,1242
106,494,2100,1234
107,495,2136,1161
108,511,2213,1100
109,503,2009,1163
110,494,2117,1097
111,510,2004,1204
112,492,2177,1308
113,497,2195,1302
114,517,2517,1182
115,505,1981,1235
116,486,2172,1188
117,487,2058,1178
118,501,2004,1071
119,501,2185,1248
120,571,2540,1193
121,491,2312,1233
122,494,2129,1240
123,499,2040,1235
124,506,2203,1214
125,493,2260,1228
126,502,2106,1233
127,530,2216,1201
128,500,2555,1060
129,507,2291,1219
130,487,2185,1221
131,508,2217,1246
132,492,2474,1181
133,493,2212,1269
134,615,2541,1504
135,830,3168,1301
136,709,3002,1259
137,707,2669,1255
138,519,2699,1229
139,510,2027,1222
140,492,1941,1216
141,490,1911,1242
142,516,2378,1208
143,507,2138,1211
144,504,2278,1233
145,504,2054,1317
146,487,2005,1196
147,604,2205,1229
148,490,2187,1219
149,508,2255,1212
150,525,2155,1229
151,572,2230,1232
152,587,2391,1200
153,491,2397,1241
154,499,2069,1073
155,567,2335,1227
156,506,2216,1220
157,491,2251,1220
158,491,2630,1215
159,511,1946,1204
160,499,2131,1223
161,500,2052,1158
162,505,2155,1136
163,507,2191,1163
164,493,2240,1227
165,495,2120,1107
166,498,2101,1197
167,497,1926,1218
168,494,1989,1104
169,534,2045,1205
170,490,2188,1205
171,501,2152,1197
172,480,2092,1196
173,501,2089,1226
174,586,2322,1209
175,575,2201,1235
176,481,2247,1166
177,497,2074,1233
178,501,2044,1207
179,497,2222,1171
180,491,2161,1216
181,517,2349,1174
182,493,2393,1193
183,495,2116,1184
184,498,1903,1241
185,509,2139,1279
186,498,2217,1047
187,510,2161,1231
188,491,2199,1246
189,501,2132,1188
190,491,2013,1203
191,493,2140,1199
192,493,2154,1252
193,487,2104,1234
194,521,2144,1244
195,574,2813,1159
196,587,2114,1215
197,582,2202,1091
198,534,2144,1205
199,510,2045,1233
200,490,2282,1209
201,505,1915,1047
202,491,2254,1261
203,577,2204,1210
204,504,2136,1177
205,487,2104,1156
206,500,2302,1242
207,508,1991,1495
208,582,2131,1268
209,585,2194,1091
210,502,1976,1191
211,506,2090,1188
212,500,2063,1096
213,495,2088,1221
214,495,2161,1179
215,523,2159,1186
216,503,2029,1197
217,488,2076,1207
218,491,2153,1215
219,503,2129,1196
220,486,1926,1244
221,525,2381,1126
222,495,2079,1203
223,499,2221,1159
224,553,2660,1218
225,506,2178,1210
226,495,2084,1242
227,506,2259,1220
228,498,2093,1206
229,506,1878,1168
230,489,2185,1216
231,501,2105,1246
232,506,2073,1244
233,566,2482,1231
234,505,2203,1213
235,498,2251,1203
236,496,2021,1237
237,511,2036,1224
238,485,2106,1236
239,506,2277,1183
240,498,2021,1230
241,504,2033,1101
242,496,2143,1215
243,506,2129,1213
244,489,2140,1221
245,489,2172,1217
246,491,2058,1234
247,581,2471,1106
248,506,2425,1256
249,509,1899,1185
250,501,2277,1075
251,504,2276,1151
252,491,1942,1209
253,512,2004,1216
254,494,2158,1233
255,503,1981,1164
256,493,2038,1212
257,502,2031,1212
258,500,2066,1220
259,505,2013,1219
260,502,2023,1222
261,499,2365,1271
262,507,2184,1218
263,485,2003,1257
264,501,2188,1529
265,495,2335,1088
266,497,1971,1327
267,500,2052,1236
268,497,1963,9
