,setup_ms,elapsed_ms,dbRead_ms
0,713,188,2
1,1994,321,2
2,621,209,3
3,1143,231,3
4,661,179,3
5,610,174,2
6,614,165,2
7,628,179,2
8,646,180,2
9,614,255,3
10,650,181,2
11,638,197,3
12,603,188,3
13,623,179,4
14,622,170,3
15,644,197,2
16,626,210,2
17,604,191,1
18,631,190,2
19,609,169,2
20,596,192,2
21,605,171,2
22,669,220,2
23,676,196,2
24,844,339,2
25,861,235,3
26,785,262,2
27,1118,402,2
28,1453,307,2
29,809,225,2
30,1331,460,14
31,2694,450,2
32,751,204,92
33,831,198,3
34,735,223,3
35,755,247,2
36,780,222,2
37,756,239,2
38,737,228,2
39,739,221,2
40,725,259,2
41,811,223,4
42,747,268,2
43,798,218,2
44,729,252,3
45,842,236,2
46,730,239,2
47,806,208,2
48,775,251,3
49,831,217,3
50,758,234,2
51,814,232,3
52,792,255,9
53,799,221,2
54,760,205,3
55,724,215,2
56,746,219,2
57,737,201,3
58,898,289,4
59,750,245,2
60,819,198,2
61,755,289,2
62,850,210,2
63,743,256,1
64,784,198,3
65,801,236,2
66,2079,692,5
67,3254,300,3
